,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
3456,MCO,MKE,1066.0,2,5,9,Autumn,2023-07-17 15:30:00,930,Afternoon,168.0,1718,FL,4,5,9,7,1,1,46.0,32.0,Moderately delayed,2006-09-05,15,17
3457,PHX,LAX,370.0,7,1,1,Winter,2023-07-17 09:45:00,585,Morning,90.0,1015,WN,3,4,7,13,2,1,0.0,2.0,Slightly delayed,2006-01-01,9,10
3458,LAX,JFK,2475.0,6,25,3,Spring,2023-07-17 23:30:00,1410,Evening,311.0,0741,AA,4,4,8,11,1,2,10.0,5.0,Slightly delayed,2006-03-25,23,7
3459,PHX,SNA,338.0,4,16,11,Autumn,2023-07-17 13:30:00,810,Afternoon,70.0,1340,WN,3,2,5,14,3,1,0.0,1.0,Slightly delayed,2006-11-16,13,13
3460,SNA,SLC,588.0,3,23,8,Summer,2023-07-17 06:45:00,405,Morning,124.0,0949,OO,2,4,6,16,1,1,-6.0,-3.0,On-time,2006-08-23,6,9
3461,IND,CLE,261.0,2,9,5,Spring,2023-07-17 14:40:00,880,Afternoon,68.0,1548,XE,3,4,7,14,1,1,-6.0,-5.0,On-time,2006-05-09,14,15
3462,LGA,DTW,501.0,6,29,4,Spring,2023-07-17 09:59:00,599,Morning,117.0,1156,MQ,3,6,9,9,1,1,17.0,14.0,Slightly delayed,2006-04-29,9,11
3463,MCO,LGA,950.0,6,20,5,Spring,2023-07-17 11:30:00,690,Morning,160.0,1410,B6,4,3,7,12,1,1,-5.0,-8.0,On-time,2006-05-20,11,14
3464,SAT,LAX,1210.0,7,10,9,Autumn,2023-07-17 17:05:00,1025,Afternoon,185.0,1810,WN,3,4,7,10,1,1,-5.0,-7.0,On-time,2006-09-10,17,18
3465,MSP,TPA,1307.0,5,20,1,Winter,2023-07-17 13:00:00,780,Afternoon,182.0,1702,NW,4,3,7,24,3,2,1.0,13.0,Slightly delayed,2006-01-20,13,17
3466,DFW,SHV,190.0,5,28,7,Summer,2023-07-17 11:35:00,695,Morning,70.0,1245,MQ,7,2,9,13,4,1,-5.0,-14.0,On-time,2006-07-28,11,12
3467,IAH,TUS,936.0,5,1,9,Autumn,2023-07-17 14:30:00,870,Afternoon,155.0,1505,XE,5,3,8,15,1,1,22.0,18.0,Moderately delayed,2006-09-01,14,15
3468,CLE,GRR,214.0,4,20,4,Spring,2023-07-17 18:50:00,1130,Evening,61.0,1951,XE,4,3,7,14,1,1,-5.0,-12.0,On-time,2006-04-20,18,19
3469,ORD,SJC,1829.0,4,28,9,Autumn,2023-07-17 09:40:00,580,Morning,270.0,1210,AA,11,3,14,13,1,1,-5.0,-19.0,On-time,2006-09-28,9,12
3470,DFW,TUS,813.0,1,24,7,Summer,2023-07-17 16:39:00,999,Afternoon,131.0,1650,AA,7,3,10,15,4,2,-6.0,-12.0,On-time,2006-07-24,16,16
3471,TUS,DFW,813.0,6,14,10,Autumn,2023-07-17 11:00:00,660,Morning,125.0,1505,AA,3,7,10,5,1,2,11.0,4.0,Slightly delayed,2006-10-14,11,15
3472,SAN,DEN,853.0,6,7,10,Autumn,2023-07-17 06:20:00,380,Morning,140.0,0940,F9,1,6,7,10,1,2,-10.0,-4.0,On-time,2006-10-07,6,9
3473,IAH,MEM,469.0,5,14,7,Summer,2023-07-17 18:49:00,1129,Evening,94.0,2023,XE,5,4,9,20,2,1,21.0,21.0,Moderately delayed,2006-07-14,18,20
3474,CVG,CLT,335.0,6,11,3,Spring,2023-07-17 08:20:00,500,Morning,90.0,0950,OH,4,4,8,12,2,1,0.0,-8.0,On-time,2006-03-11,8,9
3475,PHL,SAN,2369.0,3,5,7,Summer,2023-07-17 17:55:00,1075,Afternoon,340.0,2035,US,4,1,5,13,2,1,3.0,55.0,Moderately delayed,2006-07-05,17,20
3476,PDX,PHX,1009.0,3,8,11,Autumn,2023-07-17 11:15:00,675,Morning,151.0,1446,US,3,3,6,12,2,2,0.0,6.0,Slightly delayed,2006-11-08,11,14
3477,BNA,STL,271.0,2,24,10,Autumn,2023-07-17 19:05:00,1145,Evening,70.0,2015,MQ,4,4,8,14,1,1,-4.0,0.0,On-time,2006-10-24,19,20
3478,SNA,LAS,226.0,1,16,1,Winter,2023-07-17 10:55:00,655,Morning,67.0,1202,US,2,4,6,12,1,3,23.0,29.0,Moderately delayed,2006-01-16,10,12
3479,LGA,CLT,544.0,4,16,2,Winter,2023-07-17 09:50:00,590,Morning,129.0,1159,US,3,4,7,10,2,2,-3.0,-25.0,On-time,2006-02-16,9,11
3480,BOS,PHX,2300.0,5,21,7,Summer,2023-07-17 09:50:00,590,Morning,331.0,1221,US,6,3,9,14,2,2,24.0,12.0,Slightly delayed,2006-07-21,9,12
3481,COS,IAH,809.0,2,11,7,Summer,2023-07-17 06:30:00,390,Morning,139.0,0949,XE,3,5,8,19,1,1,-3.0,-1.0,On-time,2006-07-11,6,9
3482,ANC,FAI,261.0,5,7,4,Spring,2023-07-17 23:55:00,1435,Evening,55.0,0050,AS,3,4,7,16,1,1,36.0,30.0,Moderately delayed,2006-04-07,23,0
3483,ORD,RNO,1671.0,2,25,4,Spring,2023-07-17 08:12:00,492,Morning,249.0,1021,AA,11,3,14,12,3,1,0.0,-14.0,On-time,2006-04-25,8,10
3484,MHT,PHL,290.0,3,8,2,Winter,2023-07-17 19:00:00,1140,Evening,90.0,2030,WN,2,4,6,16,1,2,0.0,-2.0,On-time,2006-02-08,19,20
3485,EWR,DFW,1372.0,4,2,11,Autumn,2023-07-17 09:15:00,555,Morning,263.0,1238,CO,3,7,10,15,3,1,-6.0,8.0,Slightly delayed,2006-11-02,9,12
3486,PHX,ELP,347.0,3,5,7,Summer,2023-07-17 08:53:00,533,Morning,89.0,1122,US,3,3,6,13,1,1,2.0,-3.0,On-time,2006-07-05,8,11
3487,MIA,CLT,650.0,7,17,9,Autumn,2023-07-17 12:45:00,765,Afternoon,120.0,1445,US,4,4,8,21,1,2,-4.0,-2.0,On-time,2006-09-17,12,14
3488,IAD,PHL,134.0,7,21,5,Spring,2023-07-17 12:26:00,746,Afternoon,59.0,1325,YV,4,4,8,16,1,1,-6.0,-5.0,On-time,2006-05-21,12,13
