,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date
66,DFW,IAD,1172.0,3,3,5,Spring,18:35:00,1115,Evening,170.0,2225,AA,7,4,11,16,1,1,14.0,17.0,Moderately delayed,2006-05-03
67,RIC,CVG,413.0,5,3,11,Autumn,06:45:00,405,Morning,95.0,820,OH,3,4,7,13,1,2,65.0,63.0,Excessively delayed,2006-11-03
68,SAV,ATL,215.0,3,22,2,Winter,12:25:00,745,Afternoon,63.0,1328,FL,2,5,7,20,1,3,22.0,15.0,Slightly delayed,2006-02-22
69,SEA,PHX,1107.0,1,12,6,Summer,05:25:00,325,Night,171.0,816,US,4,3,7,9,1,2,-1.0,1.0,Slightly delayed,2006-06-12
70,SJU,TPA,1237.0,6,15,7,Summer,14:57:00,897,Afternoon,179.0,1756,AA,2,3,5,10,1,2,-1.0,-18.0,On-time,2006-07-15
71,ORD,CVG,264.0,2,11,7,Summer,10:19:00,619,Morning,73.0,1232,MQ,11,4,15,19,3,1,-2.0,13.0,Slightly delayed,2006-07-11
72,BOS,IAH,1597.0,4,2,3,Spring,10:20:00,620,Morning,260.0,1340,CO,6,5,11,10,1,1,4.0,0.0,On-time,2006-03-02
73,MSP,DEN,680.0,3,4,10,Autumn,07:10:00,430,Morning,121.0,811,NW,4,6,10,12,1,3,6.0,11.0,Slightly delayed,2006-10-04
74,OAK,ONT,361.0,3,3,5,Spring,19:25:00,1165,Evening,70.0,2035,WN,4,2,6,16,2,1,12.0,12.0,Slightly delayed,2006-05-03
75,PBI,EWR,1024.0,1,14,8,Summer,12:30:00,750,Afternoon,184.0,1534,CO,3,3,6,18,1,3,-6.0,-16.0,On-time,2006-08-14
76,HOU,ABQ,759.0,1,13,11,Autumn,16:25:00,985,Afternoon,135.0,1740,WN,4,4,8,10,1,1,0.0,-5.0,On-time,2006-11-13
77,DFW,EWR,1372.0,6,13,5,Spring,12:25:00,745,Afternoon,220.0,1705,CO,7,3,10,10,1,1,-6.0,-7.0,On-time,2006-05-13
78,BWI,MDW,611.0,3,7,6,Summer,12:20:00,740,Afternoon,115.0,1315,WN,4,5,9,16,2,2,0.0,-10.0,On-time,2006-06-07
79,ORD,DCA,612.0,2,31,1,Winter,17:00:00,1020,Afternoon,107.0,1947,UA,11,3,14,16,4,1,-1.0,-20.0,On-time,2006-01-31
80,DSM,ATL,743.0,2,11,7,Summer,06:05:00,365,Morning,127.0,912,EV,2,5,7,19,1,4,-6.0,-12.0,On-time,2006-07-11
81,MCO,DEN,1545.0,3,10,5,Spring,18:07:00,1087,Evening,223.0,1950,UA,4,6,10,7,1,1,-8.0,19.0,Moderately delayed,2006-05-10
82,STL,IAH,668.0,7,16,7,Summer,11:25:00,685,Morning,127.0,1332,XE,4,5,9,13,1,1,2.0,-4.0,On-time,2006-07-16
83,TPA,IND,838.0,2,31,10,Autumn,12:40:00,760,Afternoon,140.0,1500,WN,3,3,6,15,1,2,37.0,27.0,Moderately delayed,2006-10-31
84,SJU,MCO,1189.0,2,19,12,Winter,19:30:00,1170,Evening,185.0,2135,AA,2,4,6,11,1,1,-4.0,-14.0,On-time,2006-12-19
85,SLC,RDM,526.0,4,11,5,Spring,15:06:00,906,Afternoon,99.0,1545,OO,4,2,6,14,1,1,0.0,-1.0,On-time,2006-05-11
86,LAS,MCI,1140.0,6,9,9,Autumn,19:35:00,1175,Evening,165.0,20,WN,4,3,7,12,1,1,-3.0,-21.0,On-time,2006-09-09
87,FAT,SLC,501.0,5,17,3,Spring,06:20:00,380,Morning,90.0,850,OO,2,4,6,11,1,1,-5.0,-15.0,On-time,2006-03-17
88,MCO,LGA,950.0,5,31,3,Spring,08:00:00,480,Morning,160.0,1040,DL,4,3,7,11,2,1,2.0,-2.0,On-time,2006-03-31
89,LAX,ANC,2345.0,3,6,9,Autumn,20:30:00,1230,Evening,319.0,49,AS,4,3,7,13,1,1,-7.0,-12.0,On-time,2006-09-06
90,DFW,ATL,732.0,5,9,6,Summer,09:05:00,545,Morning,130.0,1215,DL,7,5,12,14,1,4,-6.0,-14.0,On-time,2006-06-09
91,LGA,DCA,214.0,4,15,6,Summer,13:10:00,790,Afternoon,69.0,1419,MQ,3,3,6,19,2,1,16.0,11.0,Slightly delayed,2006-06-15
92,LIT,DAL,296.0,1,20,3,Spring,17:00:00,1020,Afternoon,65.0,1805,WN,3,3,6,19,1,1,34.0,40.0,Moderately delayed,2006-03-20
93,SHV,ATL,552.0,4,29,6,Summer,10:40:00,640,Morning,103.0,1323,EV,2,5,7,13,1,1,0.0,-9.0,On-time,2006-06-29
94,IAH,LBB,458.0,5,7,7,Summer,18:00:00,1080,Evening,97.0,1937,XE,5,3,8,13,1,1,-6.0,-1.0,On-time,2006-07-07
95,JFK,PBI,1028.0,7,1,10,Autumn,08:50:00,530,Morning,186.0,1156,DL,4,3,7,12,1,1,-3.0,-8.0,On-time,2006-10-01
96,ATL,CVG,373.0,6,11,3,Spring,12:03:00,723,Afternoon,87.0,1330,DL,5,4,9,12,3,2,4.0,-8.0,On-time,2006-03-11
97,MHT,EWR,209.0,2,1,8,Summer,17:25:00,1045,Afternoon,89.0,1854,XE,2,3,5,16,1,1,82.0,97.0,Excessively delayed,2006-08-01
98,MCO,BWI,787.0,2,8,8,Summer,14:45:00,885,Afternoon,135.0,1700,WN,4,4,8,16,1,2,18.0,9.0,Slightly delayed,2006-08-08
99,LGA,MSP,1020.0,1,20,11,Autumn,15:15:00,915,Afternoon,190.0,1725,NW,3,4,7,11,1,1,-9.0,-21.0,On-time,2006-11-20
100,PHX,ABQ,328.0,5,3,3,Spring,13:10:00,790,Afternoon,67.0,1417,US,3,4,7,15,4,1,-1.0,-5.0,On-time,2006-03-03
101,MSP,BDL,1050.0,4,19,10,Autumn,07:50:00,470,Morning,152.0,1122,NW,4,3,7,21,1,1,29.0,28.0,Moderately delayed,2006-10-19
102,CLT,MIA,650.0,2,12,12,Winter,15:55:00,955,Afternoon,122.0,1757,US,4,4,8,16,1,1,-3.0,-7.0,On-time,2006-12-12
103,SLC,PDX,630.0,6,9,9,Autumn,11:41:00,701,Morning,114.0,1235,DL,4,3,7,12,1,1,-4.0,-4.0,On-time,2006-09-09
104,EWR,IAD,213.0,5,28,4,Spring,08:43:00,523,Morning,82.0,1005,YV,3,4,7,12,2,1,0.0,20.0,Moderately delayed,2006-04-28
105,ATL,IAD,533.0,2,30,5,Spring,10:47:00,647,Morning,112.0,1239,DL,5,4,9,11,1,1,-2.0,-8.0,On-time,2006-05-30
106,IAH,SNA,1347.0,7,20,8,Summer,21:05:00,1265,Evening,199.0,2224,CO,5,2,7,15,2,1,0.0,6.0,Slightly delayed,2006-08-20
107,ROC,EWR,246.0,4,17,8,Summer,13:35:00,815,Afternoon,75.0,1450,XE,3,3,6,10,1,1,-8.0,-20.0,On-time,2006-08-17
108,DEN,RAP,301.0,3,28,6,Summer,19:35:00,1175,Evening,85.0,2100,YV,6,2,8,21,6,1,-4.0,0.0,On-time,2006-06-28
109,ATL,TPA,406.0,7,29,1,Winter,21:15:00,1275,Evening,85.0,2240,FL,5,3,8,14,3,1,0.0,-4.0,On-time,2006-01-29
110,DTW,ORD,235.0,7,9,4,Spring,09:08:00,548,Morning,77.0,925,NW,6,11,17,13,1,4,-6.0,-11.0,On-time,2006-04-09
111,LAS,BWI,2106.0,1,20,11,Autumn,17:25:00,1045,Afternoon,260.0,45,WN,4,4,8,11,2,1,27.0,36.0,Moderately delayed,2006-11-20
112,BDL,ORD,783.0,3,15,11,Autumn,10:15:00,615,Morning,150.0,1145,MQ,3,11,14,9,1,1,-3.0,47.0,Moderately delayed,2006-11-15
113,GSO,DFW,999.0,1,16,10,Autumn,13:15:00,795,Afternoon,170.0,1505,MQ,3,7,10,8,1,1,69.0,68.0,Excessively delayed,2006-10-16
114,BNA,PHL,675.0,7,3,12,Winter,20:05:00,1205,Evening,115.0,2300,WN,4,4,8,7,1,1,20.0,-6.0,On-time,2006-12-03
115,PNS,ATL,272.0,3,3,5,Spring,14:05:00,845,Afternoon,65.0,1610,EV,2,5,7,16,1,4,-5.0,2.0,Slightly delayed,2006-05-03
116,DEN,LAS,629.0,1,24,7,Summer,07:10:00,430,Morning,115.0,805,WN,6,4,10,15,1,2,-4.0,-17.0,On-time,2006-07-24
117,DTW,PBI,1087.0,1,13,2,Winter,09:26:00,566,Morning,171.0,1217,NW,6,3,9,14,1,1,1.0,-19.0,On-time,2006-02-13
118,IAH,LCH,127.0,2,14,2,Winter,21:15:00,1275,Evening,47.0,2202,XE,5,2,7,16,1,1,-4.0,-2.0,On-time,2006-02-14
119,LAX,PHX,370.0,4,26,10,Autumn,11:15:00,675,Morning,86.0,1241,OO,4,3,7,18,2,3,5.0,-2.0,On-time,2006-10-26
120,STL,DTW,440.0,5,22,12,Winter,06:55:00,415,Morning,96.0,931,NW,4,6,10,16,1,2,-5.0,7.0,Slightly delayed,2006-12-22
121,CVG,DTW,229.0,4,23,3,Spring,16:30:00,990,Afternoon,79.0,1749,OH,4,6,10,11,1,1,-2.0,-7.0,On-time,2006-03-23
122,CLT,ORD,599.0,1,29,5,Spring,21:40:00,1300,Evening,122.0,2242,US,4,11,15,18,1,1,16.0,10.0,Slightly delayed,2006-05-29
123,PHL,DTW,453.0,4,19,10,Autumn,09:28:00,568,Morning,107.0,1115,NW,4,6,10,21,1,2,-4.0,29.0,Moderately delayed,2006-10-19
124,SLC,GJT,217.0,3,3,5,Spring,10:03:00,603,Morning,63.0,1106,OO,4,2,6,16,3,1,-5.0,-5.0,On-time,2006-05-03
125,SLC,MSO,436.0,7,31,12,Winter,17:39:00,1059,Afternoon,97.0,1916,OO,4,2,6,12,1,1,-1.0,-18.0,On-time,2006-12-31
126,ORD,SFO,1846.0,7,30,4,Spring,09:30:00,570,Morning,278.0,1208,AA,11,4,15,7,1,1,0.0,-12.0,On-time,2006-04-30
127,ORD,MSP,334.0,7,3,9,Autumn,09:55:00,595,Morning,89.0,1124,MQ,11,4,15,12,3,1,-3.0,-24.0,On-time,2006-09-03
128,SLC,IAH,1195.0,7,7,5,Spring,13:40:00,820,Afternoon,183.0,1743,CO,4,5,9,11,3,2,-3.0,-12.0,On-time,2006-05-07
129,DEN,DFW,641.0,6,12,8,Summer,15:53:00,953,Afternoon,116.0,1849,AA,6,7,13,12,1,3,-1.0,47.0,Moderately delayed,2006-08-12
130,SLC,IDA,188.0,2,12,9,Autumn,10:04:00,604,Morning,58.0,1102,OO,4,2,6,14,2,1,2.0,-4.0,On-time,2006-09-12
131,RNO,PHX,601.0,7,29,10,Autumn,12:33:00,753,Afternoon,98.0,1511,US,3,3,6,20,1,2,19.0,12.0,Slightly delayed,2006-10-29
132,SNA,OAK,371.0,5,1,12,Winter,16:50:00,1010,Afternoon,86.0,1816,AS,2,4,6,9,2,1,1.0,3.0,Slightly delayed,2006-12-01
133,IAH,ELP,667.0,7,20,8,Summer,13:10:00,790,Afternoon,118.0,1408,XE,5,3,8,15,2,1,-2.0,-2.0,On-time,2006-08-20
134,HOU,HRL,276.0,5,6,10,Autumn,11:20:00,680,Morning,55.0,1215,WN,4,3,7,17,1,1,1.0,-5.0,On-time,2006-10-06
135,EWR,SAV,708.0,1,13,3,Spring,09:20:00,560,Morning,160.0,1200,XE,3,2,5,16,1,1,3.0,15.0,Slightly delayed,2006-03-13
136,SJC,PHX,621.0,1,22,5,Spring,15:40:00,940,Afternoon,106.0,1726,US,3,3,6,16,1,3,-1.0,0.0,On-time,2006-05-22
137,LAS,CVG,1678.0,3,8,3,Spring,07:00:00,420,Morning,221.0,1341,DL,4,4,8,14,1,2,-1.0,-8.0,On-time,2006-03-08
